notice_id,portal_id,candidate_count,retrieval_time_ms
N005801,P005,1758,0.069
N005809,P004,422,0.025
N005817,P039,2589,0.088
N005825,P215,1491,0.063
N005833,P240,2460,0.066
N005841,P002,2218,0.109
N005849,P003,1663,0.077
N005857,P094,699,0.03
N005865,P240,1326,0.039
N005873,P002,2162,0.094
N005881,P120,445,0.028
N005889,P006,655,0.029
N005897,P003,1437,0.064
N005905,P020,1317,0.044
N005913,P096,2869,0.084
N005921,P075,1974,0.054
N005929,P213,1292,0.044
N005937,P094,2957,0.077
N005945,P147,1932,0.054
N005953,P040,1230,0.034
N005961,P200,630,0.03
N005969,P094,2913,0.07
N005977,P136,1679,0.062
N005985,P004,1453,0.061
N005993,P056,2125,0.048
N006001,P235,2692,0.078
N006009,P006,1693,0.067
N006017,P141,1457,0.053
N006025,P074,1150,0.031
N006033,P094,495,0.023
N006041,P003,1358,0.055
N006049,P002,1393,0.053
N006057,P004,1200,0.061
N006065,P004,1558,0.057
N006073,P028,610,0.033
N006081,P004,1729,0.058
N006089,P204,2014,0.049
N006097,P094,1418,0.04
N006105,P094,1121,0.04
N006113,P003,1832,0.076
N006121,P004,1909,0.081
N006129,P001,2353,0.092
N006137,P006,1906,0.09
N006145,P064,658,0.029
N006153,P004,1051,0.04
N006161,P003,895,0.03
N006169,P029,1170,0.032
N006177,P215,1629,0.039
N006185,P228,872,0.037
N006193,P020,328,0.019
N006201,P122,572,0.019
N006209,P001,2212,0.076
N006217,P204,1014,0.041
N006225,P001,2270,0.098
N006233,P181,1394,0.056
N006241,P004,1250,0.058
N006249,P094,1324,0.034
N006257,P004,1546,0.058
N006265,P213,1950,0.049
N006273,P229,103,0.019
N006281,P003,687,0.033
N006289,P020,1223,0.029
N006297,P006,2003,0.087
N006305,P094,893,0.037
N006313,P101,1650,0.056
N006321,P053,1130,0.035
N006329,P041,1359,0.05
N006337,P181,1271,0.048
N006345,P238,1731,0.052
N006353,P003,788,0.04
N006361,P167,211,0.015
N006369,P005,587,0.022
N006377,P130,1418,0.044
N006385,P004,1109,0.06
N006393,P001,1790,0.067
N006401,P003,1685,0.065
N006409,P094,2411,0.073
N006417,P094,1289,0.056
N006425,P094,2507,0.063
N006433,P005,2224,0.148
N006441,P003,644,0.058
N006449,P003,1468,0.046
N006457,P003,1307,0.046
N006465,P094,780,0.037
N006473,P003,1060,0.059
N006481,P006,1628,0.071
N006489,P073,1169,0.043
N006497,P215,1030,0.022
N006505,P020,903,0.032
N006513,P142,183,0.017
N006521,P006,1320,0.038
N006529,P195,1746,0.05
N006537,P004,1962,0.082
N006545,P156,1747,0.051
N006553,P094,1231,0.046
N006561,P094,1946,0.044
N006569,P005,2110,0.097
N006577,P006,707,0.039
N006585,P073,1171,0.04
N006593,P006,1784,0.068
N006601,P001,2090,0.099
N006609,P038,2644,0.07
N006617,P240,1646,0.056
N006625,P006,1445,0.061
N006633,P005,2239,0.107
N006641,P189,2681,0.073
N006649,P020,1927,0.061
N006657,P094,2009,0.063
N006665,P005,2261,0.103
N006673,P094,459,0.029
N006681,P167,533,0.017
N006689,P094,1164,0.032
N006697,P003,1725,0.071
N006705,P004,1460,0.049
N006713,P189,963,0.041
N006721,P120,2332,0.051
N006729,P020,576,0.032
N006737,P215,309,0.014
N006745,P003,1532,0.063
N006753,P002,1809,0.075
N006761,P094,1691,0.059
N006769,P071,2681,0.073
N006777,P004,896,0.052
N006785,P094,552,0.023
N006793,P215,495,0.017
N006801,P003,2219,0.096
N006809,P094,2306,0.066
N006817,P051,2092,0.055
N006825,P098,3274,0.089
N006833,P094,2462,0.081
N006841,P006,1937,0.09
N006849,P129,1432,0.04
N006857,P094,2063,0.051
N006865,P141,1950,0.046
N006873,P007,2561,0.074
N006881,P221,142,0.025
N006889,P094,963,0.027
N006897,P002,2346,0.119
N006905,P189,685,0.04
N006913,P007,3264,0.084
N006921,P260,613,0.044
N006929,P114,84,0.011
N006937,P005,2295,0.127
N006945,P094,2166,0.055
N006953,P094,845,0.039
N006961,P044,1864,0.056
N006969,P108,2205,0.05
N006977,P215,1312,0.052
N006985,P094,1635,0.047
N006993,P165,1277,0.037
N007001,P020,1465,0.04
N007009,P151,157,0.018
N007017,P067,2789,0.089
N007025,P260,419,0.036
N007033,P003,798,0.033
N007041,P059,1085,0.035
N007049,P094,928,0.034
N007057,P002,1042,0.045
N007065,P004,1078,0.046
N007073,P004,1525,0.064
N007081,P197,2222,0.056
N007089,P167,1341,0.045
N007097,P005,1989,0.205
N007105,P105,338,0.031
N007113,P061,1923,0.063
N007121,P094,1191,0.044
N007129,P143,437,0.026
N007137,P240,1198,0.03
N007145,P003,1057,0.041
N007153,P001,2047,0.072
N007161,P227,1036,0.045
N007169,P215,506,0.021
N007177,P005,2288,0.122
N007185,P002,2062,0.086
N007193,P002,2272,0.177
N007201,P010,2044,0.073
N007209,P081,986,0.048
N007217,P002,1796,0.072
N007225,P229,1430,0.054
N007233,P005,2001,0.068
N007241,P146,3001,0.083
N007249,P005,2310,0.133
N007257,P006,939,0.047
N007265,P001,2166,0.079
N007273,P003,779,0.281
N007281,P004,818,0.037
N007289,P001,2236,0.102
N007297,P053,510,0.032
N007305,P020,425,0.018
N007313,P205,1035,0.044
N007321,P094,1294,0.037
N007329,P094,2348,0.162
N007337,P215,939,0.06
N007345,P146,2536,0.093
N007353,P002,2207,0.09
N007361,P001,2167,0.09
N007369,P006,1517,0.067
N007377,P006,1181,0.058
N007385,P127,1097,0.039
N007393,P094,1910,0.043
N007401,P002,994,0.043
N007409,P003,1299,0.042
N007417,P044,680,0.034
N007425,P002,2209,0.098
N007433,P042,1380,0.059
N007441,P006,1453,0.054
N007449,P002,1969,0.09
N007457,P122,255,0.027
N007465,P005,2247,0.085
N007473,P163,908,0.047
N007481,P094,1399,0.05
N007489,P003,1334,0.063
N007497,P005,2326,0.137
N007505,P020,968,0.04
N007513,P003,856,0.035
N007521,P020,994,0.034
N007529,P005,2190,0.09
N007537,P094,781,0.034
N007545,P076,1615,0.045
N007553,P094,1368,0.044
N007561,P094,933,0.034
N007569,P057,1011,0.03
N007577,P187,2156,0.048
N007585,P002,2410,0.113
N007593,P005,2317,0.138
N007601,P129,2240,0.065
N007609,P129,2022,0.052
N007617,P020,2686,0.096
N007625,P005,2343,0.122
N007633,P051,580,0.034
N007641,P003,1600,0.069
N007649,P004,1885,0.092
N007657,P003,1888,0.095
N007665,P189,493,0.028
N007673,P001,1651,0.059
N007681,P005,2300,0.089
N007689,P006,1743,0.078
N007697,P006,1645,0.071
N007705,P002,2282,0.119
N007713,P133,1795,0.059
N007721,P006,1628,0.065
N007729,P075,747,0.035
N007737,P060,2884,0.072
N007745,P241,2034,0.058
N007753,P042,2131,0.053
N007761,P038,1035,0.039
N007769,P094,1329,0.038
N007777,P060,2019,0.049
N007785,P020,1459,0.058
N007793,P005,1569,0.061
N007801,P006,1660,0.074
N007809,P001,2208,0.093
N007817,P006,1326,0.063
N007825,P002,2253,0.098
N007833,P240,2752,0.084
N007841,P002,2094,0.092
N007849,P006,1722,0.079
N007857,P236,2740,0.07
N007865,P006,1706,0.087
N007873,P088,1202,0.048
N007881,P020,1161,0.029
N007889,P006,1768,0.072
N007897,P001,2159,0.068
N007905,P094,451,0.033
N007913,P094,1460,0.047
N007921,P003,1741,0.071
N007929,P229,2023,0.051
N007937,P005,689,0.037
N007945,P084,91,0.013
N007953,P072,2243,0.049
N007961,P100,2247,0.063
N007969,P059,866,0.037
N007977,P094,1223,0.03
N007985,P258,1385,0.045
N007993,P072,2176,0.055
N008001,P056,1257,0.051
N008009,P020,1075,0.038
